Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
96,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$18000000.00,40.0%,10 años,"$ 462,856.64",10.40 %,Tasa fija anual,13.3 %,"$ 96,750.00",Mensual
97,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$19980000.00,40.0%,10 años,"$ 513,739.44",10.40 %,Tasa fija anual,13.3 %,"$ 107,392.50",Mensual
98,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$180000.00,40.0%,5 años,"$ 7,217.20",10.40 %,Tasa fija anual,15.9 %,"$ 1,543.99",Mensual
99,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$2160000.00,40.0%,5 años,"$ 83,465.40",10.40 %,Tasa fija anual,13.8 %,"$ 18,527.88",Mensual
100,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$4140000.00,40.0%,5 años,"$ 159,713.76",10.40 %,Tasa fija anual,13.7 %,"$ 35,511.76",Mensual
101,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$6120000.00,40.0%,5 años,"$ 235,962.16",10.40 %,Tasa fija anual,13.7 %,"$ 52,495.65",Mensual
102,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$8100000.00,0.8888888888888888%,5 años,"$ 7,217.20",10.40 %,Tasa fija anual,15.9 %,"$ 1,543.99",Mensual
103,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$10080000.00,40.0%,5 años,"$ 388,458.84",10.40 %,Tasa fija anual,13.7 %,"$ 86,463.42",Mensual
104,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$12060000.00,40.0%,5 años,"$ 464,707.28",10.40 %,Tasa fija anual,13.7 %,"$ 103,447.30",Mensual
105,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$14040000.00,40.0%,5 años,"$ 540,955.52",10.40 %,Tasa fija anual,13.7 %,"$ 120,431.19",Mensual
106,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$16020000.00,40.0%,5 años,"$ 617,203.88",10.40 %,Tasa fija anual,13.7 %,"$ 137,415.07",Mensual
107,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$18000000.00,40.0%,5 años,"$ 693,452.48",10.40 %,Tasa fija anual,13.7 %,"$ 154,398.96",Mensual
108,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$19980000.00,40.0%,5 años,"$ 769,700.80",10.40 %,Tasa fija anual,13.7 %,"$ 171,382.85",Mensual
109,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$180000.00,27.77777777777778%,20 años,"$ 2,928.88",10.80 %,Tasa fija anual,15.5 %,$ 509.31,Mensual
110,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$2160000.00,2.314814814814815%,20 años,"$ 5,855.84",10.80 %,Tasa fija anual,30.9 %,$ 509.31,Mensual
111,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$4140000.00,1.2077294685990339%,20 años,"$ 8,782.80",10.80 %,Tasa fija anual,52.8 %,$ 509.31,Mensual
112,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$6120000.00,0.8169934640522877%,20 años,"$ 11,709.84",10.80 %,Tasa fija anual,88.7 %,$ 509.31,Mensual
113,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$8100000.00,0.6172839506172839%,20 años,"$ 14,636.88",10.80 %,Tasa fija anual,171.7 %,$ 509.31,Mensual
114,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$10080000.00,0.496031746031746%,20 años,"$ 17,563.76",10.80 %,Tasa fija anual,349.6 %,$ 509.31,Mensual
115,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$12060000.00,0.41459369817578773%,20 años,"$ 20,490.88",10.80 %,Tasa fija anual,317.1 %,$ 509.31,Mensual
116,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$14040000.00,0.3561253561253561%,20 años,"$ 23,417.76",10.80 %,Tasa fija anual,995.4 %,$ 509.31,Mensual
117,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$16020000.00,0.3121098626716604%,20 años,"$ 26,344.80",10.80 %,Tasa fija anual,680.7 %,$ 509.31,Mensual
118,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$18000000.00,0.2777777777777778%,20 años,"$ 29,272.00",10.80 %,Tasa fija anual,248.4 %,$ 509.31,Mensual
119,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$19980000.00,0.2502502502502503%,20 años,"$ 29,272.00",10.80 %,Tasa fija anual,248.4 %,$ 509.31,Mensual
120,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$180000.00,27.77777777777778%,19 años,"$ 2,959.84",10.80 %,Tasa fija anual,15.6 %,$ 517.04,Mensual
121,HIPOTECA BANCOMER FIJA PAGO DE PASIVOS,$2160000.00,2.314814814814815%,19 años,"$ 5,886.80",10.80 %,Tasa fija anual,31.1 %,$ 517.04,Mensual
