Valor Vivienda,Monto,Plazo,AFORO,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago Mensual
8461538.00,5500000,180,65.0,181566.00,9.90,Fija,11.9,63548.03
8615385.00,5600000,180,65.0,184867.00,9.90,Fija,11.9,64703.45
8769231.00,5700000,180,65.0,188168.00,9.90,Fija,11.9,65858.87
8923077.00,5800000,180,65.0,191469.00,9.90,Fija,11.9,67014.29
9076923.00,5900000,180,65.0,194771.00,9.90,Fija,11.9,68169.71
9230769.00,6000000,180,65.0,198072.00,9.90,Fija,11.9,69325.12
9384615.00,6100000,180,65.0,201373.00,9.90,Fija,11.9,70480.54
9538462.00,6200000,180,65.0,204674.00,9.90,Fija,11.9,71635.96
9692308.00,6300000,180,65.0,207975.00,9.90,Fija,11.9,72791.38
9846154.00,6400000,180,65.0,211277.00,9.90,Fija,11.9,73946.80
10000000.00,6500000,180,65.0,214578.00,9.90,Fija,11.9,75102.22
10153846.00,6600000,180,65.0,217879.00,9.90,Fija,11.9,76257.64
10307692.00,6700000,180,65.0,221180.00,9.90,Fija,11.9,77413.06
10461538.00,6800000,180,65.0,224481.00,9.90,Fija,11.9,78568.47
