Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
102,Compra tu Casa,600000,95.0,240,"$ 12,380.40",11.60%,Pagos Oportunos,13.4%,"$ 6,190.20",Mensual
103,Compra tu Casa,700000,95.0,240,"$ 14,443.80",11.60%,Pagos Oportunos,13.4%,"$ 7,221.90",Mensual
104,Compra tu Casa,800000,95.0,240,"$ 16,507.20",11.60%,Pagos Oportunos,13.4%,"$ 8,253.60",Mensual
105,Compra tu Casa,900000,95.0,240,"$ 18,570.60",11.60%,Pagos Oportunos,13.4%,"$ 9,285.30",Mensual
106,Compra tu Casa,1000000,95.0,240,"$ 20,634.00",11.60%,Pagos Oportunos,13.4%,"$ 10,317.00",Mensual
107,Compra tu Casa,1100000,95.0,240,"$ 22,697.40",11.60%,Pagos Oportunos,13.4%,"$ 11,348.70",Mensual
108,Compra tu Casa,1200000,95.0,240,"$ 24,760.80",11.60%,Pagos Oportunos,13.4%,"$ 12,380.40",Mensual
109,Compra tu Casa,1300000,95.0,240,"$ 26,824.20",11.60%,Pagos Oportunos,13.4%,"$ 13,412.10",Mensual
110,Compra tu Casa,1400000,95.0,240,"$ 28,887.60",11.60%,Pagos Oportunos,13.4%,"$ 14,443.80",Mensual
111,Compra tu Casa,1500000,95.0,240,"$ 30,951.00",11.60%,Pagos Oportunos,13.4%,"$ 15,475.50",Mensual
112,Compra tu Casa,1600000,95.0,240,"$ 33,014.40",11.60%,Pagos Oportunos,13.4%,"$ 16,507.20",Mensual
113,Compra tu Casa,1700000,95.0,240,"$ 35,077.80",11.60%,Pagos Oportunos,13.4%,"$ 17,538.90",Mensual
114,Compra tu Casa,1800000,95.0,240,"$ 37,141.20",11.60%,Pagos Oportunos,13.4%,"$ 18,570.60",Mensual
115,Compra tu Casa,1900000,95.0,240,"$ 39,204.60",11.60%,Pagos Oportunos,13.4%,"$ 19,602.30",Mensual
116,Compra tu Casa,2000000,95.0,240,"$ 41,268.00",11.60%,Pagos Oportunos,13.4%,"$ 20,634.00",Mensual
117,Compra tu Casa,2500000,95.0,240,"$ 51,585.00",11.60%,Pagos Oportunos,13.4%,"$ 25,792.50",Mensual
118,Compra tu Casa,3000000,95.0,240,"$ 61,902.00",11.60%,Pagos Oportunos,13.4%,"$ 30,951.00",Mensual
119,Compra tu Casa,3500000,95.0,240,"$ 72,219.00",11.60%,Pagos Oportunos,13.4%,"$ 36,109.50",Mensual
120,Compra tu Casa,4000000,95.0,240,"$ 82,536.00",11.60%,Pagos Oportunos,13.4%,"$ 41,268.00",Mensual
121,Compra tu Casa,4500000,95.0,240,"$ 92,853.00",11.60%,Pagos Oportunos,13.4%,"$ 46,426.50",Mensual
122,Compra tu Casa,5000000,95.0,240,"$ 103,170.00",11.60%,Pagos Oportunos,13.4%,"$ 51,585.00",Mensual
