Subproducto,"Institución",Producto,Moneda,"Valor Vivienda",Aforo,Plazo,"Ingresos Requeridos","Tasa de Interés","Tipo de Tasa",CAT,"CAT Incluye IVA",Pago,"Frecuencia de Pago",Avaluo,"Comisión por Apertura","Gastos Notariales","Desembolso Inicial"
127,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7500000,95.0,240,154755.0,11.6,Fija,13.4,0,77377.5,Mensual,17200.0,89062.5,150000.0,631262.5
128,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8000000,95.0,240,165072.0,11.6,Fija,13.4,0,82536.0,Mensual,17200.0,95000.0,160000.0,672200.0
129,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8500000,95.0,240,175389.0,11.6,Fija,13.4,0,87694.5,Mensual,19800.0,100937.5,170000.0,715737.5
130,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9000000,95.0,240,185706.0,11.6,Fija,13.4,0,92853.0,Mensual,19800.0,106875.0,180000.0,756675.0
131,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9500000,95.0,240,196023.0,11.6,Fija,13.4,0,98011.5,Mensual,19800.0,112812.5,190000.0,797612.5
132,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,10000000,95.0,240,206340.0,11.6,Fija,13.4,0,103170.0,Mensual,19800.0,118750.0,200000.0,838550.0
133,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,400000,95.0,120,10000.0,11.25,Variable,13.5,0,4921.0,Mensual,1800.0,4750.0,8000.0,34550.0
134,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,500000,95.0,120,12302.5,11.25,Variable,13.5,0,6151.25,Mensual,1800.0,5937.5,10000.0,42737.5
135,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,600000,95.0,120,14763.0,11.25,Variable,13.5,0,7381.5,Mensual,2500.0,7125.0,12000.0,51625.0
136,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,700000,95.0,120,17223.5,11.25,Variable,13.5,0,8611.75,Mensual,2500.0,8312.5,14000.0,59812.5
137,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,800000,95.0,120,19684.0,11.25,Variable,13.5,0,9842.0,Mensual,2500.0,9500.0,16000.0,68000.0
138,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,900000,95.0,120,22144.5,11.25,Variable,13.5,0,11072.25,Mensual,2500.0,10687.5,18000.0,76187.5
139,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1000000,95.0,120,24605.0,11.25,Variable,13.5,0,12302.5,Mensual,2500.0,11875.0,20000.0,84375.0
140,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1100000,95.0,120,27065.5,11.25,Variable,13.5,0,13532.75,Mensual,4000.0,13062.5,22000.0,94062.5
141,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1200000,95.0,120,29526.0,11.25,Variable,13.5,0,14763.0,Mensual,4000.0,14250.0,24000.0,102250.0
142,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1300000,95.0,120,31986.5,11.25,Variable,13.5,0,15993.25,Mensual,4000.0,15437.5,26000.0,110437.5
143,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1400000,95.0,120,34447.0,11.25,Variable,13.5,0,17223.5,Mensual,4000.0,16625.0,28000.0,118625.0
